iter	Passed	Remaining
496	1750	1772
497	1757	1771
498	1760	1767
499	1765	1765
500	1772	1765
501	1776	1762
502	1785	1764
503	1788	1760
504	1791	1755
505	1794	1752
506	1800	1750
507	1804	1747
508	1808	1744
509	1814	1742
510	1818	1740
511	1822	1736
512	1828	1735
513	1832	1732
514	1835	1728
515	1840	1726
516	1844	1722
517	1846	1717
518	1851	1716
519	1856	1713
520	1859	1709
521	1865	1708
522	1870	1705
523	1873	1701
524	1878	1699
525	1882	1696
526	1884	1691
527	1887	1687
528	1890	1683
529	1893	1678
530	1895	1674
531	1901	1672
532	1904	1668
533	1907	1664
534	1910	1660
535	1914	1657
536	1917	1652
537	1919	1648
538	1925	1646
539	1927	1642
540	1930	1638
541	1933	1633
542	1939	1632
543	1942	1628
544	1945	1624
545	1948	1619
546	1952	1616
547	1954	1612
548	1956	1607
549	1963	1606
550	1967	1603
551	1970	1599
552	1974	1595
553	1977	1591
554	1980	1587
555	1982	1583
556	1987	1580
557	1990	1576
558	1992	1572
559	1996	1568
560	1999	1564
561	2002	1560
562	2004	1555
563	2008	1552
564	2011	1548
565	2014	1544
566	2016	1540
567	2019	1535
568	2022	1531
569	2025	1528
570	2028	1524
571	2031	1519
572	2033	1515
573	2036	1511
574	2039	1507
575	2044	1504
576	2047	1500
577	2049	1496
578	2052	1492
579	2056	1488
580	2058	1484
581	2061	1480
582	2063	1476
583	2066	1472
584	2069	1468
585	2074	1465
586	2076	1461
587	2081	1458
588	2084	1454
589	2087	1450
590	2089	1446
591	2091	1441
592	2095	1438
593	2098	1434
594	2101	1430
595	2103	1426
596	2107	1422
597	2110	1419
598	2113	1414
599	2115	1410
600	2120	1407
601	2124	1404
602	2126	1400
603	2129	1396
604	2134	1393
605	2138	1390
606	2140	1386
607	2143	1382
608	2148	1379
609	2151	1375
610	2153	1371
611	2156	1367
612	2161	1364
613	2163	1360
614	2166	1356
615	2168	1351
616	2172	1348
617	2174	1344
618	2177	1340
619	2179	1335
620	2183	1332
621	2185	1328
622	2188	1324
623	2190	1319
624	2192	1315
625	2198	1313
626	2201	1309
627	2204	1305
628	2207	1301
629	2211	1298
630	2214	1294
631	2216	1290
632	2219	1287
633	2226	1285
634	2229	1281
635	2232	1277
636	2234	1273
637	2239	1270
638	2243	1267
639	2245	1263
640	2247	1258
641	2253	1256
642	2255	1252
643	2258	1248
644	2260	1244
645	2263	1240
646	2265	1236
647	2267	1231
648	2270	1227
649	2272	1223
650	2277	1220
651	2279	1216
652	2282	1212
653	2284	1208
654	2286	1204
655	2289	1200
656	2292	1196
657	2296	1193
658	2298	1189
659	2300	1185
660	2303	1181
661	2306	1177
662	2308	1173
663	2310	1169
664	2313	1165
665	2316	1161
666	2319	1157
667	2321	1153
668	2324	1149
669	2327	1146
670	2335	1145
671	2339	1141
672	2341	1137
673	2344	1134
674	2348	1130
675	2351	1126
676	2353	1122
677	2357	1119
678	2359	1115
679	2363	1112
680	2366	1108
681	2369	1104
682	2373	1101
683	2377	1098
684	2379	1094
685	2382	1090
686	2389	1088
687	2391	1084
688	2394	1080
689	2398	1077
690	2400	1073
691	2402	1069
692	2405	1065
693	2409	1062
694	2412	1058
695	2416	1055
696	2418	1051
697	2421	1047
698	2424	1043
699	2426	1040
700	2429	1036
701	2432	1032
702	2434	1028
703	2437	1024
704	2439	1020
705	2442	1016
706	2444	1013
707	2447	1009
708	2450	1005
709	2453	1001
710	2455	998
711	2458	994
712	2461	990
713	2463	986
714	2466	983
715	2470	979
716	2473	976
717	2475	972
718	2477	968
719	2480	964
720	2482	960
721	2484	956
722	2487	952
723	2489	949
724	2495	946
725	2498	943
726	2501	939
727	2503	935
728	2508	932
729	2511	928
730	2513	925
731	2515	921
732	2520	917
733	2522	914
734	2525	910
735	2527	906
736	2529	902
737	2535	900
738	2538	896
739	2541	892
740	2543	889
741	2547	885
742	2550	882
743	2552	878
744	2555	874
745	2557	870
746	2562	867
747	2564	864
748	2567	860
749	2569	856
750	2574	853
751	2578	850
752	2580	846
753	2582	842
754	2586	839
755	2588	835
756	2590	831
757	2593	828
758	2595	824
759	2599	821
760	2602	817
761	2605	813
762	2607	809
763	2609	806
764	2614	802
765	2616	799
766	2619	795
767	2621	792
768	2624	788
769	2627	784
770	2630	781
771	2633	777
772	2635	773
773	2640	770
774	2643	767
775	2645	763
776	2648	759
777	2652	756
778	2656	753
779	2658	749
780	2661	746
781	2665	743
782	2668	739
783	2670	735
784	2673	732
785	2675	728
786	2680	725
787	2682	721
788	2684	717
789	2686	714
790	2689	710
791	2692	707
792	2695	703
793	2697	699
794	2699	696
795	2703	692
796	2706	689
797	2708	685
798	2711	682
799	2713	678
800	2716	674
801	2719	671
802	2721	667
803	2723	663
804	2725	660
805	2730	657
806	2733	653
807	2735	650
808	2738	646
809	2740	642
810	2745	639
811	2748	636
812	2750	632
813	2752	629
814	2754	625
815	2757	621
816	2760	618
817	2762	614
818	2764	611
819	2767	607
820	2770	603
821	2773	600
822	2775	596
823	2777	593
824	2783	590
825	2786	587
826	2789	583
827	2792	580
828	2797	576
829	2800	573
830	2802	569
831	2804	566
832	2807	562
833	2810	559
834	2812	555
835	2815	552
836	2817	548
837	2819	545
838	2823	541
839	2826	538
840	2828	534
841	2830	531
842	2833	527
843	2836	524
844	2839	520
845	2841	517
846	2843	513
847	2847	510
848	2850	506
849	2852	503
850	2855	499
851	2857	496
852	2860	493
853	2863	489
854	2865	485
855	2867	482
856	2881	480
857	2884	477
858	2886	473
859	2890	470
860	2894	467
861	2896	463
862	2899	460
863	2902	456
864	2905	453
865	2907	449
866	2910	446
867	2912	442
868	2917	439
869	2919	436
870	2921	432
871	2924	429
872	2926	425
873	2931	422
874	2934	419
875	2936	415
876	2939	412
877	2943	409
878	2946	405
879	2948	402
880	2951	398
881	2953	395
882	2958	391
883	2960	388
884	2962	385
885	2965	381
886	2967	378
887	2971	374
888	2973	371
889	2976	367
890	2978	364
891	2981	361
892	2985	357
893	2988	354
894	2990	350
895	2993	347
896	2995	343
897	3000	340
898	3002	337
899	3005	333
900	3008	330
901	3010	327
902	3013	323
903	3016	320
904	3018	316
905	3021	313
906	3025	310
907	3027	306
908	3030	303
909	3033	299
910	3035	296
911	3039	293
912	3042	289
913	3045	286
914	3047	283
915	3049	279
916	3053	276
917	3056	273
918	3058	269
919	3061	266
920	3063	262
921	3066	259
922	3069	256
923	3073	252
924	3076	249
925	3078	245
926	3081	242
927	3084	239
928	3086	235
929	3089	232
930	3092	229
931	3095	225
932	3098	222
933	3100	219
934	3102	215
935	3106	212
936	3109	209
937	3111	205
938	3113	202
939	3116	198
940	3119	195
941	3123	192
942	3125	188
943	3127	185
944	3130	182
945	3133	178
946	3136	175
947	3139	172
948	3141	168
949	3143	165
950	3147	162
951	3150	158
952	3152	155
953	3155	152
954	3157	148
955	3163	145
956	3166	142
957	3168	138
958	3171	135
959	3174	132
960	3177	128
961	3179	125
962	3182	122
963	3184	118
964	3187	115
965	3190	112
966	3192	108
967	3194	105
968	3197	102
969	3201	99
970	3203	95
971	3206	92
972	3208	89
973	3211	85
974	3214	82
975	3217	79
976	3220	75
977	3222	72
978	3224	69
979	3228	65
980	3230	62
981	3232	59
982	3235	55
983	3237	52
984	3241	49
985	3243	46
986	3246	42
987	3248	39
988	3250	36
989	3253	32
990	3256	29
991	3259	26
992	3261	22
993	3263	19
994	3267	16
995	3270	13
996	3273	9
997	3275	6
998	3277	3
999	3281	0
